Brand,Model,RAM,Storage,Url Path
Infinix,Infinix Hot 12 Pro,8 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-12-pro-128-gb-8-gb-ram-halo-white-mobile-phone-l6fbmw
Infinix,Infinix Note,6 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-11-128-gb-6-gb-ram-celestial-snow-mobile-phone-l1kl1w
Infinix,Infinix Note,6 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-11-128-gb-6-gb-ram-glacier-green-mobile-phone-l1kl22
Infinix,Infinix Note,6 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-11-128-gb-6-gb-ram-graphite-black-mobile-phone-l1kl25
Infinix,Infinix Note 11S,6 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-11s-64-gb-6-gb-ram-haze-green-mobile-phone-l1kl2z
Infinix,Infinix Note 11S,6 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-11s-64-gb-6-gb-ram-mithril-grey-mobile-phone-l1kl32
Infinix,Infinix Note 11S,6 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-11s-64-gb-6-gb-ram-symphony-cyan-mobile-phone-l1kl32
Infinix,Infinix Note 12 Turbo,8 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-12-turbo-128gb-8gb-ram-sapphire-blue-mobile-phone-l4cyig
Infinix,Infinix Note 12 Turbo,8 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-12-turbo-128gb-8gb-ram-snowfall-white-mobile-phone-l4cyii
Infinix,Infinix Note 12 Turbo,8 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-12-turbo-128gb-8gb-ram-force-black-mobile-phone-l4cyim
Infinix,Infinix Note 11S Free Fire Edition,8 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-11s-free-fire-edition-128-gb-8-gb-ram-haze-green-mobile-phone-l1kl2x
Infinix,Infinix Note 11S Free Fire Edition,8 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-11s-free-fire-edition-128-gb-8-gb-ram-mithril-grey-mobile-phone-l1kl2w
Infinix,Infinix Note 11S Free Fire Edition,8 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-11s-free-fire-edition-128-gb-8-gb-ram-symphony-cyan-mobile-phone-l1kl33
Infinix,Infinix Note 12 5G,6 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-12-5g-64gb-6gb-ram-snowfall-white-mobile-phone-l5sego
Infinix,Infinix Note 12 5G,6 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-12-5g-64gb-6gb-ram-force-black-mobile-phone-l5sego
Infinix,Infinix Note 12 Pro 5G,8 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-12-pro-5g-128gb-8gb-ram-force-black-mobile-phone-l5segq
Infinix,Infinix Note 12 Pro 5G,8 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-12-pro-5g-128gb-8gb-ram-snowfall-white-mobile-phone-l5segq
Infinix,Infinix Zero 5G,8 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-zero-5g-128-gb-8-gb-ram-cosmic-black-smartphone-l1k9ds
Infinix,Infinix Zero 5G,8 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-zero-5g-128-gb-8-gb-ram-skylight-orange-mobile-phone-l1kl2z
